Name	Subtitle	Acceleration	TopSpeed	Range	Efficiency	FastChargeSpeed	Drive	NumberofSeats	PriceinGermany	PriceinUK
Porsche Taycan Sport Turismo	71 kWh useable battery          Available since March 2022	5.4 sec	230 km/h	380 km	187 Wh/km		Rear Wheel Drive	4	€89,351	
Porsche Taycan Plus Sport Turismo	83.7 kWh useable battery          Available since March 2022	5.4 sec	230 km/h	445 km	188 Wh/km		Rear Wheel Drive	4	€95,074	
Porsche Taycan 4S Sport Turismo	71 kWh useable battery          Available since March 2022	4.0 sec	250 km/h	370 km	192 Wh/km		All Wheel Drive	4	€109,819	
Porsche Taycan 4S Plus Sport Turismo	83.7 kWh useable battery          Available since March 2022	4.0 sec	250 km/h	430 km	195 Wh/km		All Wheel Drive	4	€115,341	
Porsche Taycan Turbo Sport Turismo	83.7 kWh useable battery          Available since March 2022	3.2 sec	260 km/h	405 km	207 Wh/km		All Wheel Drive	4	€157,300	
Porsche Taycan Turbo S Sport Turismo	83.7 kWh useable battery          Available since March 2022	2.8 sec	260 km/h	395 km	212 Wh/km		All Wheel Drive	4	€190,620	
Volkswagen ID.4 Pro	77 kWh useable battery          Available since February 2022	10.4 sec	160 km/h	410 km	188 Wh/km		Rear Wheel Drive	5		
Skoda Enyaq Coupe iV 60	58 kWh useable battery          Available since July 2022	8.8 sec	160 km/h	335 km	173 Wh/km		Rear Wheel Drive	5	€43,000	
Skoda Enyaq Coupe iV 80	77 kWh useable battery          Available since July 2022	8.7 sec	160 km/h	445 km	173 Wh/km		Rear Wheel Drive	5	€54,400	
Skoda Enyaq Coupe iV 80x	77 kWh useable battery          Available since December 2022	7.0 sec	160 km/h	430 km	179 Wh/km		All Wheel Drive	5	€57,000	
Skoda Enyaq Coupe iV RS	77 kWh useable battery          Available since March 2022	6.5 sec	180 km/h	405 km	190 Wh/km		All Wheel Drive	5	€63,300	
MG MG5 Electric Standard Range	46 kWh useable battery          Available since June 2022	7.7 sec	185 km/h	265 km	174 Wh/km		Front Wheel Drive	5	€35,490	
